iter	Passed	Remaining
405	5689	8324
406	5700	8305
407	5710	8285
408	5719	8264
409	5729	8244
410	5738	8223
411	5749	8205
412	5759	8185
413	5770	8167
414	5781	8150
415	5793	8132
416	5803	8113
417	5814	8095
418	5824	8076
419	5834	8057
420	5847	8042
421	5859	8026
422	5870	8007
423	5881	7990
424	5894	7974
425	5905	7957
426	5916	7939
427	5926	7921
428	5936	7901
429	5949	7886
430	5961	7870
431	5973	7853
432	5982	7834
433	5992	7814
434	6003	7797
435	6014	7780
436	6026	7764
437	6036	7745
438	6047	7728
439	6059	7712
440	6071	7695
441	6081	7677
442	6091	7659
443	6102	7642
444	6115	7626
445	6126	7609
446	6137	7592
447	6147	7574
448	6157	7556
449	6167	7538
450	6178	7521
451	6190	7504
452	6200	7486
453	6210	7469
454	6220	7450
455	6231	7434
456	6241	7416
457	6252	7398
458	6262	7381
459	6272	7363
460	6282	7345
461	6291	7326
462	6301	7309
463	6311	7291
464	6322	7274
465	6333	7258
466	6346	7243
467	6358	7227
468	6368	7210
469	6378	7192
470	6390	7176
471	6399	7159
472	6410	7142
473	6423	7128
474	6434	7111
475	6445	7095
476	6456	7079
477	6466	7061
478	6477	7045
479	6490	7030
480	6500	7014
481	6511	6998
482	6524	6983
483	6535	6968
484	6548	6953
485	6560	6938
486	6572	6923
487	6581	6905
488	6592	6888
489	6601	6871
490	6611	6853
491	6621	6837
492	6632	6820
493	6642	6803
494	6651	6785
495	6661	6768
496	6672	6753
497	6682	6735
498	6691	6717
499	6700	6700
500	6711	6684
501	6720	6667
502	6730	6650
503	6740	6633
504	6752	6618
505	6763	6602
506	6773	6586
507	6785	6572
508	6796	6556
509	6808	6541
510	6821	6528
511	6833	6512
512	6844	6497
513	6856	6483
514	6868	6468
515	6879	6452
516	6891	6437
517	6902	6422
518	6912	6405
519	6922	6390
520	6933	6374
521	6943	6358
522	6952	6341
523	6963	6326
524	6974	6310
525	6983	6292
526	6993	6277
527	7004	6261
528	7013	6244
529	7023	6228
530	7032	6211
531	7042	6195
532	7052	6179
533	7063	6164
534	7073	6148
535	7083	6132
536	7094	6116
537	7103	6099
538	7114	6085
539	7124	6068
540	7134	6053
541	7146	6039
542	7156	6023
543	7169	6009
544	7180	5994
545	7192	5980
546	7203	5965
547	7214	5950
548	7224	5934
549	7235	5919
550	7245	5904
551	7255	5888
552	7265	5873
553	7276	5857
554	7288	5843
555	7299	5829
556	7311	5814
557	7321	5799
558	7332	5784
559	7341	5768
560	7350	5751
561	7360	5736
562	7369	5720
563	7380	5705
564	7390	5689
565	7400	5674
566	7411	5660
567	7422	5645
568	7432	5629
569	7444	5615
570	7456	5602
571	7467	5587
572	7479	5573
573	7491	5559
574	7503	5545
575	7513	5530
576	7523	5515
577	7531	5498
578	7542	5483
579	7554	5470
580	7564	5455
581	7573	5439
582	7585	5425
583	7596	5411
584	7607	5396
585	7617	5381
586	7626	5366
587	7636	5350
588	7646	5335
589	7657	5321
590	7668	5306
591	7679	5292
592	7690	5278
593	7700	5263
594	7711	5248
595	7723	5235
596	7734	5221
597	7744	5206
598	7754	5191
599	7765	5177
600	7777	5163
601	7788	5149
602	7799	5134
603	7809	5120
604	7819	5105
605	7828	5089
606	7840	5076
607	7852	5062
608	7863	5048
609	7874	5034
610	7885	5020
611	7896	5006
612	7905	4991
613	7917	4977
614	7927	4962
615	7937	4947
616	7947	4933
617	7957	4918
618	7967	4904
619	7977	4889
620	7986	4874
621	7995	4859
622	8005	4844
623	8016	4830
624	8027	4816
625	8038	4802
626	8047	4787
627	8057	4772
628	8067	4758
629	8077	4744
630	8089	4730
631	8099	4716
632	8110	4702
633	8119	4687
634	8131	4673
635	8140	4659
636	8152	4645
637	8162	4631
638	8172	4617
639	8182	4602
640	8191	4587
641	8201	4573
642	8212	4559
643	8223	4545
644	8235	4532
645	8245	4518
646	8257	4505
647	8268	4491
648	8278	4477
649	8289	4463
650	8300	4450
651	8312	4436
652	8322	4422
653	8333	4408
654	8343	4394
655	8354	4381
656	8366	4368
657	8375	4353
658	8386	4339
659	8395	4325
660	8406	4311
661	8415	4296
662	8425	4282
663	8436	4269
664	8445	4254
665	8456	4241
666	8467	4227
667	8476	4213
668	8485	4198
669	8495	4184
670	8505	4170
671	8516	4156
672	8526	4142
673	8537	4129
674	8548	4115
675	8557	4101
676	8567	4087
677	8577	4073
678	8588	4060
679	8598	4046
680	8609	4032
681	8618	4018
682	8629	4005
683	8638	3990
684	8648	3977
685	8659	3963
686	8673	3951
687	8687	3939
688	8699	3926
689	8711	3914
690	8723	3900
691	8735	3888
692	8747	3874
693	8758	3861
694	8770	3849
695	8782	3835
696	8794	3822
697	8806	3810
698	8819	3797
699	8833	3785
700	8845	3772
701	8857	3759
702	8871	3747
703	8885	3735
704	8895	3722
705	8907	3709
706	8919	3696
707	8930	3683
708	8941	3670
709	8954	3657
710	8965	3644
711	8976	3630
712	8988	3618
713	9000	3605
714	9011	3591
715	9023	3579
716	9034	3566
717	9045	3552
718	9055	3538
719	9065	3525
720	9075	3511
721	9087	3498
722	9098	3485
723	9109	3472
724	9121	3459
725	9132	3446
726	9143	3433
727	9154	3420
728	9165	3407
729	9177	3394
730	9188	3381
731	9199	3368
732	9211	3355
733	9222	3342
734	9234	3329
735	9245	3316
736	9256	3303
737	9266	3289
738	9276	3276
739	9287	3263
740	9298	3249
741	9307	3236
742	9318	3223
743	9327	3209
744	9337	3196
745	9347	3182
746	9357	3169
747	9368	3156
748	9379	3143
749	9388	3129
750	9399	3116
751	9407	3102
752	9417	3089
753	9428	3076
754	9439	3063
755	9449	3049
756	9461	3037
757	9473	3024
758	9485	3011
759	9498	2999
760	9510	2986
761	9520	2973
762	9531	2960
763	9544	2948
764	9556	2935
765	9568	2923
766	9580	2910
767	9593	2898
768	9604	2885
769	9615	2872
770	9624	2858
771	9635	2845
772	9646	2832
773	9657	2819
774	9668	2807
775	9678	2793
776	9688	2780
777	9699	2767
778	9708	2754
779	9717	2740
780	9727	2727
781	9736	2714
782	9745	2700
783	9754	2687
784	9764	2674
785	9773	2661
786	9783	2647
787	9793	2634
788	9803	2621
789	9813	2608
790	9824	2595
791	9833	2582
792	9842	2569
793	9853	2556
794	9865	2543
795	9876	2531
796	9889	2518
797	9899	2505
798	9909	2492
799	9919	2479
800	9929	2466
801	9940	2454
802	9950	2441
803	9959	2427
804	9970	2415
805	9980	2402
806	9991	2389
807	10002	2376
808	10012	2363
809	10022	2350
810	10031	2337
811	10040	2324
812	10050	2311
813	10060	2298
814	10069	2285
815	10080	2273
816	10091	2260
817	10101	2247
818	10111	2234
819	10122	2221
820	10132	2209
821	10141	2196
822	10151	2183
823	10162	2170
824	10171	2157
825	10181	2144
826	10192	2132
827	10202	2119
828	10212	2106
829	10221	2093
830	10231	2080
831	10241	2067
832	10251	2055
833	10262	2042
834	10273	2030
835	10282	2017
836	10292	2004
837	10302	1991
838	10313	1979
839	10322	1966
840	10333	1953
841	10341	1940
842	10354	1928
843	10365	1915
844	10375	1903
845	10385	1890
846	10394	1877
847	10405	1865
848	10415	1852
849	10426	1839
850	10436	1827
851	10447	1814
852	10457	1802
853	10467	1789
854	10477	1776
855	10488	1764
856	10497	1751
857	10507	1738
858	10517	1726
859	10527	1713
860	10536	1701
861	10547	1688
862	10556	1675
863	10564	1662
864	10574	1650
865	10584	1637
866	10595	1625
867	10605	1612
868	10615	1600
869	10627	1587
