iter	RMSE
0	550.0030081
1	506.0214677
2	465.9623716
3	429.6825791
4	396.7615086
5	366.2089043
6	338.6221188
7	313.5679661
8	290.8309363
9	270.3912007
10	251.7829188
11	234.6471035
12	219.4216922
13	205.5691465
14	192.922105
15	182.0231846
16	171.8192351
17	163.0207615
18	154.9356468
19	147.8496195
20	141.5335935
21	135.9689554
22	131.1042731
23	126.7752903
24	122.9757675
25	119.5842025
26	116.7414048
27	114.0683028
28	111.7272636
29	109.7414133
30	107.9641657
31	106.403726
32	105.0816411
33	103.8718917
34	102.8521193
35	101.8183658
36	100.9998051
37	100.2818183
38	99.65112381
39	99.0466573
40	98.52835983
41	98.09461058
42	97.6606759
43	97.26902966
44	96.95707074
45	96.54050021
46	96.26426822
47	96.0266339
48	95.74304784
49	95.45806293
50	95.11315054
51	94.95273134
52	94.73888017
53	94.49657709
54	94.36657409
55	94.12058591
56	93.90472244
57	93.62848876
58	93.45271954
59	93.26083104
60	93.13949981
61	93.04477847
62	92.93631642
63	92.81301111
64	92.60127441
65	92.48936463
66	92.37438057
67	92.21911182
68	92.12778104
69	91.99639842
70	91.90525927
71	91.74451724
72	91.66912774
73	91.61651354
74	91.44950709
75	91.35552148
76	91.24898326
77	91.14582914
78	91.05367755
79	90.90422015
80	90.84565727
81	90.76365011
82	90.67734173
83	90.60785923
84	90.49301666
85	90.42293578
86	90.28998124
87	90.19163421
88	90.14648054
89	90.07186532
90	89.96987342
91	89.89182619
92	89.84170519
93	89.75892985
94	89.6816563
95	89.57590197
96	89.48197818
97	89.43128296
98	89.36328408
99	89.29759808
100	89.20437084
101	89.13334998
102	89.0623659
103	88.98509137
104	88.90815018
105	88.75293834
106	88.69365547
107	88.60423387
108	88.56291947
109	88.50076873
110	88.41701609
111	88.35632212
112	88.27222741
113	88.23310106
114	88.195507
115	88.15087873
116	88.08962581
117	87.97586958
118	87.92217284
119	87.84292705
120	87.77864546
121	87.73627749
122	87.67145091
123	87.61298108
124	87.5609664
125	87.51212995
126	87.46742569
127	87.40326044
128	87.27576481
129	87.25028391
130	87.183314
131	87.15168891
132	87.05746682
133	87.01447529
134	86.95140641
135	86.92049744
136	86.86729405
137	86.7988942
138	86.76075562
139	86.7370262
140	86.68554913
141	86.63561362
142	86.59300761
143	86.52461473
144	86.48765351
145	86.43003654
146	86.38917351
147	86.33276518
148	86.26963763
149	86.20041082
150	86.16263841
151	86.11492474
152	86.08928124
153	86.01671655
154	85.98120578
155	85.94666925
156	85.88999054
157	85.77732632
158	85.72880796
159	85.66894645
160	85.62393065
161	85.56613939
162	85.48699575
163	85.45707421
164	85.42889645
165	85.41084555
166	85.36181369
167	85.33049994
168	85.27338235
169	85.24833997
170	85.20689344
171	85.15139179
172	85.08206311
173	85.06141403
174	85.02727069
175	84.97188732
176	84.9337388
177	84.87958795
178	84.83160726
179	84.79536641
180	84.75971787
181	84.73534888
182	84.68685833
183	84.6128801
184	84.53688553
185	84.50974657
186	84.49528117
187	84.46569063
188	84.41595544
189	84.34927552
190	84.32654105
191	84.31422043
192	84.23783072
193	84.18992668
194	84.09020997
195	84.06755045
196	84.01216923
197	83.94916739
198	83.88440614
199	83.84308462
200	83.79926347
201	83.73605707
202	83.69243019
203	83.66313186
204	83.61213861
205	83.5866022
206	83.54452608
207	83.50353751
208	83.46039155
209	83.42203381
210	83.37426013
211	83.34192546
212	83.29897283
213	83.27313515
214	83.22550923
215	83.17753162
216	83.13601555
217	83.09206379
218	83.04756476
219	83.00043505
220	82.97737433
221	82.95202299
222	82.93760404
223	82.87765074
224	82.84358835
225	82.79244785
226	82.75704295
227	82.72574208
228	82.65215397
229	82.63929446
230	82.60580987
231	82.5727173
232	82.53669342
233	82.49043322
234	82.44878195
235	82.40659467
236	82.36972459
237	82.33265362
238	82.29463613
239	82.25302182
240	82.20793846
241	82.16322839
242	82.12820634
243	82.07977208
244	82.05886511
245	82.02744367
246	82.00003128
247	81.96342933
248	81.94510882
249	81.90994262
250	81.896006
251	81.86727078
252	81.84343097
253	81.80505482
254	81.76693098
255	81.7369899
256	81.72016249
257	81.69901005
258	81.65023776
259	81.62834329
260	81.59691074
261	81.56625996
262	81.543982
263	81.50378857
264	81.47690944
265	81.43257388
266	81.41061344
267	81.37207009
268	81.32340369
269	81.2946039
270	81.25855913
271	81.23027912
272	81.19469929
273	81.16101664
274	81.12668711
275	81.07007655
276	81.05666628
277	81.03807277
278	81.01296947
279	80.98533157
280	80.9461744
281	80.92332845
282	80.89540004
283	80.87628499
284	80.86658928
285	80.85434199
286	80.8386725
287	80.78522942
288	80.75941969
289	80.74098725
290	80.71306735
291	80.68186099
292	80.64498103
293	80.60046947
294	80.57460116
295	80.54985126
296	80.50524187
297	80.47916503
298	80.44188157
299	80.4200437
300	80.36806043
301	80.35259484
302	80.33305459
303	80.31490287
304	80.29181249
305	80.28381819
306	80.24715373
307	80.20847928
308	80.17382629
309	80.14107152
310	80.07161159
311	80.04766382
312	79.99466548
313	79.94151359
314	79.91188495
315	79.86877332
316	79.85625773
317	79.8265703
318	79.79987085
319	79.78140537
320	79.74328076
321	79.71754608
322	79.68830471
323	79.65665276
324	79.64846302
325	79.62017337
326	79.58915489
327	79.56329611
328	79.53844215
329	79.51186014
330	79.4806825
331	79.45139115
332	79.42856554
333	79.4023222
334	79.37522168
335	79.35771548
336	79.3460822
337	79.33222174
338	79.30671955
339	79.27496538
340	79.23106548
341	79.20740675
342	79.19575413
343	79.17065387
344	79.14493163
345	79.10705461
346	79.07511697
347	79.05046228
348	79.02621384
349	78.96988319
350	78.92684193
351	78.90728382
352	78.87517267
353	78.84595738
354	78.82888927
355	78.79026551
356	78.76434426
357	78.74336567
358	78.6994572
359	78.68060544
360	78.66000048
361	78.62959312
362	78.597881
363	78.56403858
364	78.54041499
365	78.51697895
366	78.49430766
367	78.47628054
368	78.4357398
369	78.41017071
370	78.40030671
371	78.37409604
372	78.33976353
373	78.32455238
374	78.28529701
375	78.26841673
376	78.23220821
377	78.20712599
378	78.19218994
379	78.16154608
380	78.12935691
381	78.11491078
382	78.09439504
383	78.08192233
384	78.04232271
385	78.01105392
386	77.98620802
387	77.96177811
388	77.93339695
389	77.90913044
390	77.89875134
391	77.88071102
392	77.87380893
393	77.84590785
394	77.82739389
395	77.80083558
396	77.77696683
397	77.75028389
398	77.71850767
399	77.67816873
400	77.65649036
401	77.62714573
402	77.6016184
403	77.5916792
404	77.5596634
405	77.54442822
406	77.53223097
407	77.50864844
408	77.47344008
409	77.45314143
410	77.41412428
411	77.39358342
412	77.37200076
413	77.33453756
414	77.30742622
415	77.2919278
416	77.28512501
417	77.26826187
418	77.23556184
419	77.22102668
420	77.2073002
421	77.17304848
422	77.14689747
423	77.12011181
424	77.0934534
425	77.08255559
426	77.05455312
427	77.04431322
428	77.01958435
429	77.00380952
430	76.96887015
431	76.94909641
432	76.92801399
433	76.90843135
434	76.89642093
435	76.87247536
436	76.85363349
437	76.8407723
438	76.82015488
439	76.79658586
440	76.77419942
441	76.72931874
442	76.70270951
443	76.69461906
444	76.67886641
445	76.66309593
446	76.63747573
447	76.61283279
448	76.60595432
449	76.58894082
450	76.56905577
451	76.53597948
452	76.51912564
453	76.50318028
454	76.49034382
455	76.46665232
456	76.44609954
457	76.42133202
458	76.40624209
459	76.38800855
460	76.35255187
461	76.33407559
462	76.31201162
463	76.30320561
464	76.28072818
465	76.26542769
466	76.23006528
467	76.21638298
468	76.19484298
469	76.15907564
470	76.13945441
471	76.10991146
472	76.07382219
473	76.06336095
474	76.03228798
475	76.00444897
476	75.98258772
477	75.94051899
478	75.90522032
479	75.88861054
480	75.88143271
481	75.84797625
482	75.83233067
483	75.80291486
484	75.77448409
485	75.76368707
486	75.73649608
487	75.71495973
488	75.70211231
489	75.67314391
490	75.66271786
491	75.64983439
492	75.62899805
493	75.59905243
494	75.56742303
495	75.55972672
496	75.55394869
497	75.53947956
498	75.51880981
499	75.50349954
500	75.47103902
501	75.43539569
502	75.42662511
503	75.40476762
504	75.39022934
505	75.37677613
506	75.35561664
507	75.35109024
508	75.31164306
509	75.29284236
510	75.27926421
511	75.26038101
512	75.23329817
513	75.21984749
514	75.19717269
515	75.17792505
516	75.15356395
517	75.14085349
518	75.12576182
519	75.10292699
520	75.10002116
521	75.09004303
522	75.0629713
523	75.05082206
524	75.03575145
525	75.02664249
526	75.0141145
527	74.98693613
528	74.96985939
529	74.94022703
530	74.91689031
531	74.88740651
532	74.86102043
533	74.84000689
534	74.82858222
535	74.80542362
536	74.78655541
537	74.7632695
538	74.74522312
539	74.72345412
540	74.70624637
541	74.69411837
542	74.66887276
543	74.65692508
544	74.6383281
545	74.61272126
546	74.5955801
547	74.58058948
548	74.55726029
549	74.54579753
550	74.53235239
551	74.50998822
552	74.50153107
553	74.48559566
554	74.47093343
555	74.4648757
556	74.44933822
557	74.43139683
558	74.41886558
559	74.40355087
560	74.38535078
561	74.36975673
562	74.34490846
563	74.3378868
564	74.32704367
565	74.32047391
566	74.31088531
567	74.29951739
568	74.27985775
569	74.2621175
570	74.24233583
571	74.23535405
572	74.2166105
573	74.20740224
574	74.1990602
575	74.17203476
576	74.15215168
577	74.12897379
578	74.12528244
579	74.11502443
580	74.08302956
581	74.06588686
582	74.04564056
